method,u,l,kappa,delta,k,seed,n,normal_gaps_json,paper_boundary,direct_threshold,threshold_to_boundary,assumption_4_2,detected_below_boundary,detected_above_boundary
iforest,0.5,0.125,4.0,0.375,0,0,12,"[0.16290349075320257, 0.19345460895215713, 0.48380703526923563, 0.1921773049809506, 0.5, 0.13798482949971363, 0.43625065124398454, 0.22961225977770108, 0.125, 0.23721180845401002]",2.0,0.23274990663069892,0.11637495331534946,True,True,True
knn,0.5,0.125,4.0,0.375,1,0,12,"[0.16290349075320257, 0.19345460895215713, 0.48380703526923563, 0.1921773049809506, 0.5, 0.13798482949971363, 0.43625065124398454, 0.22961225977770108, 0.125, 0.23721180845401002]",0.5,0.23721180845401027,0.47442361690802054,True,True,True
knn,0.5,0.125,4.0,0.375,3,0,12,"[0.16290349075320257, 0.19345460895215713, 0.48380703526923563, 0.1921773049809506, 0.5, 0.13798482949971363, 0.43625065124398454, 0.22961225977770108, 0.125, 0.23721180845401002]",0.875,0.27799479800433896,0.31770834057638736,True,True,True
knn,0.5,0.125,4.0,0.375,5,0,12,"[0.16290349075320257, 0.19345460895215713, 0.48380703526923563, 0.1921773049809506, 0.5, 0.13798482949971363, 0.43625065124398454, 0.22961225977770108, 0.125, 0.23721180845401002]",1.25,0.19872255764042684,0.15897804611234148,True,True,True
knn,0.5,0.125,4.0,0.375,7,0,12,"[0.16290349075320257, 0.19345460895215713, 0.48380703526923563, 0.1921773049809506, 0.5, 0.13798482949971363, 0.43625065124398454, 0.22961225977770108, 0.125, 0.23721180845401002]",1.625,0.18789135453187117,0.11562544894268995,True,True,True
iforest,0.5,0.125,4.0,0.375,0,1,12,"[0.338778492507561, 0.5, 0.16205431113631955, 0.45442092988713323, 0.21072855871375604, 0.30085788495824073, 0.125, 0.18013192966391542, 0.4982585127961605, 0.13516723660088442]",2.0,0.15687680845423374,0.07843840422711687,True,True,True
knn,0.5,0.125,4.0,0.375,1,1,12,"[0.338778492507561, 0.5, 0.16205431113631955, 0.45442092988713323, 0.21072855871375604, 0.30085788495824073, 0.125, 0.18013192966391542, 0.4982585127961605, 0.13516723660088442]",0.5,0.33877849250756104,0.6775569850151221,True,True,True
knn,0.5,0.125,4.0,0.375,3,1,12,"[0.338778492507561, 0.5, 0.16205431113631955, 0.45442092988713323, 0.21072855871375604, 0.30085788495824073, 0.125, 0.18013192966391542, 0.4982585127961605, 0.13516723660088442]",0.875,0.13486456001458919,0.15413092573095907,True,True,True
knn,0.5,0.125,4.0,0.375,5,1,12,"[0.338778492507561, 0.5, 0.16205431113631955, 0.45442092988713323, 0.21072855871375604, 0.30085788495824073, 0.125, 0.18013192966391542, 0.4982585127961605, 0.13516723660088442]",1.25,0.02529607718980687,0.020236861751845494,True,True,True
knn,0.5,0.125,4.0,0.375,7,1,12,"[0.338778492507561, 0.5, 0.16205431113631955, 0.45442092988713323, 0.21072855871375604, 0.30085788495824073, 0.125, 0.18013192966391542, 0.4982585127961605, 0.13516723660088442]",1.625,1.1102230256591323e-16,6.832141696363891e-17,True,True,True
iforest,0.5,0.125,4.0,0.375,0,2,12,"[0.2892471861528451, 0.2014376236688051, 0.15709506018154196, 0.5, 0.2696479668081758, 0.37481223502911276, 0.13629799151941813, 0.125, 0.2407534817761982, 0.48469595679027133]",2.0,0.4706134300873489,0.23530671504367445,True,True,True
knn,0.5,0.125,4.0,0.375,1,2,12,"[0.2892471861528451, 0.2014376236688051, 0.15709506018154196, 0.5, 0.2696479668081758, 0.37481223502911276, 0.13629799151941813, 0.125, 0.2407534817761982, 0.48469595679027133]",0.5,0.4846959567902714,0.9693919135805428,True,False,True
knn,0.5,0.125,4.0,0.375,3,2,12,"[0.2892471861528451, 0.2014376236688051, 0.15709506018154196, 0.5, 0.2696479668081758, 0.37481223502911276, 0.13629799151941813, 0.125, 0.2407534817761982, 0.48469595679027133]",0.875,0.4268876126495719,0.4878715573137965,True,True,True
knn,0.5,0.125,4.0,0.375,5,2,12,"[0.2892471861528451, 0.2014376236688051, 0.15709506018154196, 0.5, 0.2696479668081758, 0.37481223502911276, 0.13629799151941813, 0.125, 0.2407534817761982, 0.48469595679027133]",1.25,0.36668203862864396,0.29334563090291516,True,True,True
knn,0.5,0.125,4.0,0.375,7,2,12,"[0.2892471861528451, 0.2014376236688051, 0.15709506018154196, 0.5, 0.2696479668081758, 0.37481223502911276, 0.13629799151941813, 0.125, 0.2407534817761982, 0.48469595679027133]",1.625,0.34087964976253227,0.20977209216155832,True,True,True
iforest,0.5,0.125,4.0,0.375,0,3,12,"[0.15593025230750746, 0.37820800039204505, 0.5, 0.3005578114694859, 0.125, 0.2914685532465336, 0.15531684531288117, 0.1776632614879311, 0.12556978367495436, 0.32567639726661285]",2.0,0.28542431574415644,0.14271215787207822,True,True,True
knn,0.5,0.125,4.0,0.375,1,3,12,"[0.15593025230750746, 0.37820800039204505, 0.5, 0.3005578114694859, 0.125, 0.2914685532465336, 0.15531684531288117, 0.1776632614879311, 0.12556978367495436, 0.32567639726661285]",0.5,0.3782080003920451,0.7564160007840902,True,True,True
knn,0.5,0.125,4.0,0.375,3,3,12,"[0.15593025230750746, 0.37820800039204505, 0.5, 0.3005578114694859, 0.125, 0.2914685532465336, 0.15531684531288117, 0.1776632614879311, 0.12556978367495436, 0.32567639726661285]",0.875,0.24075924936151255,0.27515342784172864,True,True,True
knn,0.5,0.125,4.0,0.375,5,3,12,"[0.15593025230750746, 0.37820800039204505, 0.5, 0.3005578114694859, 0.125, 0.2914685532465336, 0.15531684531288117, 0.1776632614879311, 0.12556978367495436, 0.32567639726661285]",1.25,0.04137006549866411,0.033096052398931285,True,True,True
knn,0.5,0.125,4.0,0.375,7,3,12,"[0.15593025230750746, 0.37820800039204505, 0.5, 0.3005578114694859, 0.125, 0.2914685532465336, 0.15531684531288117, 0.1776632614879311, 0.12556978367495436, 0.32567639726661285]",1.625,1.1102230256591323e-16,6.832141696363891e-17,True,True,True
iforest,0.5,0.125,4.0,0.375,0,4,12,"[0.2661875306223851, 0.43427602906724105, 0.16785773048887415, 0.3607127494018056, 0.5, 0.24709527357628863, 0.12974230086217195, 0.125, 0.1581759811572136, 0.2503941836503249]",2.0,0.2018875763668254,0.1009437881834127,True,True,True
knn,0.5,0.125,4.0,0.375,1,4,12,"[0.2661875306223851, 0.43427602906724105, 0.16785773048887415, 0.3607127494018056, 0.5, 0.24709527357628863, 0.12974230086217195, 0.125, 0.1581759811572136, 0.2503941836503249]",0.5,0.3607127494018057,0.7214254988036114,True,True,True
knn,0.5,0.125,4.0,0.375,3,4,12,"[0.2661875306223851, 0.43427602906724105, 0.16785773048887415, 0.3607127494018056, 0.5, 0.24709527357628863, 0.12974230086217195, 0.125, 0.1581759811572136, 0.2503941836503249]",0.875,0.1408773796601581,0.16100271961160925,True,True,True
knn,0.5,0.125,4.0,0.375,5,4,12,"[0.2661875306223851, 0.43427602906724105, 0.16785773048887415, 0.3607127494018056, 0.5, 0.24709527357628863, 0.12974230086217195, 0.125, 0.1581759811572136, 0.2503941836503249]",1.25,5.551115128295662e-17,4.440892102636529e-17,True,True,True
knn,0.5,0.125,4.0,0.375,7,4,12,"[0.2661875306223851, 0.43427602906724105, 0.16785773048887415, 0.3607127494018056, 0.5, 0.24709527357628863, 0.12974230086217195, 0.125, 0.1581759811572136, 0.2503941836503249]",1.625,5.551115128295662e-17,3.4160708481819456e-17,True,True,True
iforest,0.5,0.125,4.0,0.375,0,5,12,"[0.2745859120496284, 0.16473948641982236, 0.5, 0.3085102801807334, 0.2668965075091662, 0.42092789770415795, 0.2792192228598677, 0.19398700327616597, 0.125, 0.4476125697131597]",2.0,0.4208727898272063,0.21043639491360314,True,True,True
knn,0.5,0.125,4.0,0.375,1,5,12,"[0.2745859120496284, 0.16473948641982236, 0.5, 0.3085102801807334, 0.2668965075091662, 0.42092789770415795, 0.2792192228598677, 0.19398700327616597, 0.125, 0.4476125697131597]",0.5,0.4476125697131597,0.8952251394263194,True,True,True
knn,0.5,0.125,4.0,0.375,3,5,12,"[0.2745859120496284, 0.16473948641982236, 0.5, 0.3085102801807334, 0.2668965075091662, 0.42092789770415795, 0.2792192228598677, 0.19398700327616597, 0.125, 0.4476125697131597]",0.875,0.35763780063218864,0.40872891500821557,True,True,True
knn,0.5,0.125,4.0,0.375,5,5,12,"[0.2745859120496284, 0.16473948641982236, 0.5, 0.3085102801807334, 0.2668965075091662, 0.42092789770415795, 0.2792192228598677, 0.19398700327616597, 0.125, 0.4476125697131597]",1.25,0.27966356283589533,0.22373085026871625,True,True,True
knn,0.5,0.125,4.0,0.375,7,5,12,"[0.2745859120496284, 0.16473948641982236, 0.5, 0.3085102801807334, 0.2668965075091662, 0.42092789770415795, 0.2792192228598677, 0.19398700327616597, 0.125, 0.4476125697131597]",1.625,0.24624603235176956,0.15153601990878127,True,True,True
iforest,0.5,0.125,4.0,0.375,0,6,12,"[0.2024569600388316, 0.18667519107244787, 0.24419839993463355, 0.3272909945741662, 0.20735706936327872, 0.5, 0.12684811062672807, 0.33730578555670426, 0.2995362166250494, 0.125]",2.0,0.16577591169995198,0.08288795584997599,True,True,True
knn,0.5,0.125,4.0,0.375,1,6,12,"[0.2024569600388316, 0.18667519107244787, 0.24419839993463355, 0.3272909945741662, 0.20735706936327872, 0.5, 0.12684811062672807, 0.33730578555670426, 0.2995362166250494, 0.125]",0.5,0.2995362166250493,0.5990724332500986,True,True,True
knn,0.5,0.125,4.0,0.375,3,6,12,"[0.2024569600388316, 0.18667519107244787, 0.24419839993463355, 0.3272909945741662, 0.20735706936327872, 0.5, 0.12684811062672807, 0.33730578555670426, 0.2995362166250494, 0.125]",0.875,0.23992970255223056,0.27420537434540637,True,True,True
knn,0.5,0.125,4.0,0.375,5,6,12,"[0.2024569600388316, 0.18667519107244787, 0.24419839993463355, 0.3272909945741662, 0.20735706936327872, 0.5, 0.12684811062672807, 0.33730578555670426, 0.2995362166250494, 0.125]",1.25,0.28064344732153257,0.22451475785722605,True,True,True
knn,0.5,0.125,4.0,0.375,7,6,12,"[0.2024569600388316, 0.18667519107244787, 0.24419839993463355, 0.3272909945741662, 0.20735706936327872, 0.5, 0.12684811062672807, 0.33730578555670426, 0.2995362166250494, 0.125]",1.625,0.2980921950798049,0.18344135081834148,True,True,True
iforest,0.5,0.125,4.0,0.375,0,7,12,"[0.1455775812052159, 0.29286760940007506, 0.13662793699722556, 0.3330612803538248, 0.125, 0.1638557925501609, 0.24043767961076784, 0.14634811741020767, 0.18657284370764027, 0.5]",2.0,0.4918785117117315,0.24593925585586576,True,True,True
knn,0.5,0.125,4.0,0.375,1,7,12,"[0.1455775812052159, 0.29286760940007506, 0.13662793699722556, 0.3330612803538248, 0.125, 0.1638557925501609, 0.24043767961076784, 0.14634811741020767, 0.18657284370764027, 0.5]",0.5,0.5000000000000001,1.0000000000000002,True,False,True
knn,0.5,0.125,4.0,0.375,3,7,12,"[0.1455775812052159, 0.29286760940007506, 0.13662793699722556, 0.3330612803538248, 0.125, 0.1638557925501609, 0.24043767961076784, 0.14634811741020767, 0.18657284370764027, 0.5]",0.875,0.4784903443383274,0.5468461078152312,True,True,True
knn,0.5,0.125,4.0,0.375,5,7,12,"[0.1455775812052159, 0.29286760940007506, 0.13662793699722556, 0.3330612803538248, 0.125, 0.1638557925501609, 0.24043767961076784, 0.14634811741020767, 0.18657284370764027, 0.5]",1.25,0.4525673142927034,0.36205385143416274,True,True,True
knn,0.5,0.125,4.0,0.375,7,7,12,"[0.1455775812052159, 0.29286760940007506, 0.13662793699722556, 0.3330612803538248, 0.125, 0.1638557925501609, 0.24043767961076784, 0.14634811741020767, 0.18657284370764027, 0.5]",1.625,0.4414574442731503,0.27166611955270786,True,True,True
iforest,0.5,0.0625,8.0,0.4375,0,0,12,"[0.09298450506540973, 0.12033268834406351, 0.4759082865861603, 0.11914289425535748, 0.5, 0.07248731439712465, 0.4074920406310906, 0.15559928858923827, 0.0625, 0.16338773585632466]",4.0,0.15932878172317458,0.039832195430793645,True,True,True
knn,0.5,0.0625,8.0,0.4375,1,0,12,"[0.09298450506540973, 0.12033268834406351, 0.4759082865861603, 0.11914289425535748, 0.5, 0.07248731439712465, 0.4074920406310906, 0.15559928858923827, 0.0625, 0.16338773585632466]",0.5,0.16338773585632452,0.32677547171264903,True,True,True
knn,0.5,0.0625,8.0,0.4375,3,0,12,"[0.09298450506540973, 0.12033268834406351, 0.4759082865861603, 0.11914289425535748, 0.5, 0.07248731439712465, 0.4074920406310906, 0.15559928858923827, 0.0625, 0.16338773585632466]",0.9375,0.2951095033925332,0.3147834702853688,True,True,True
knn,0.5,0.0625,8.0,0.4375,5,0,12,"[0.09298450506540973, 0.12033268834406351, 0.4759082865861603, 0.11914289425535748, 0.5, 0.07248731439712465, 0.4074920406310906, 0.15559928858923827, 0.0625, 0.16338773585632466]",1.375,0.13963394119161487,0.10155195723026536,True,True,True
knn,0.5,0.0625,8.0,0.4375,7,0,12,"[0.09298450506540973, 0.12033268834406351, 0.4759082865861603, 0.11914289425535748, 0.5, 0.07248731439712465, 0.4074920406310906, 0.15559928858923827, 0.0625, 0.16338773585632466]",1.8125,0.11002342547013509,0.06070257956972971,True,True,True
iforest,0.5,0.0625,8.0,0.4375,0,1,12,"[0.2788616190916195, 0.5, 0.09225839211799523, 0.43321400381398856, 0.13680440860703943, 0.23337648527664948, 0.0625, 0.10811875845166215, 0.49739004509961515, 0.07027844609698361]",4.0,0.11097886066158653,0.027744715165396634,True,True,True
knn,0.5,0.0625,8.0,0.4375,1,1,12,"[0.2788616190916195, 0.5, 0.09225839211799523, 0.43321400381398856, 0.13680440860703943, 0.23337648527664948, 0.0625, 0.10811875845166215, 0.49739004509961515, 0.07027844609698361]",0.5,0.27886161909161955,0.5577232381832391,True,True,True
knn,0.5,0.0625,8.0,0.4375,3,1,12,"[0.2788616190916195, 0.5, 0.09225839211799523, 0.43321400381398856, 0.13680440860703943, 0.23337648527664948, 0.0625, 0.10811875845166215, 0.49739004509961515, 0.07027844609698361]",0.9375,0.08533698291953444,0.09102611511417007,True,True,True
knn,0.5,0.0625,8.0,0.4375,5,1,12,"[0.2788616190916195, 0.5, 0.09225839211799523, 0.43321400381398856, 0.13680440860703943, 0.23337648527664948, 0.0625, 0.10811875845166215, 0.49739004509961515, 0.07027844609698361]",1.375,5.551115231693238e-17,4.0371747139587186e-17,True,True,True
knn,0.5,0.0625,8.0,0.4375,7,1,12,"[0.2788616190916195, 0.5, 0.09225839211799523, 0.43321400381398856, 0.13680440860703943, 0.23337648527664948, 0.0625, 0.10811875845166215, 0.49739004509961515, 0.07027844609698361]",1.8125,1.1102230392300642e-16,6.125368492303803e-17,True,True,True
