u,l,kappa,delta,seed,forest_seed,trees,n,normal_gaps_json,paper_boundary,exact_threshold,empirical_threshold,empirical_to_boundary,empirical_to_exact,assumption_4_2
0.5,0.125,4.0,0.375,0,53000,1600,12,"[0.3745607023443788, 0.5, 0.1617729647594555, 0.3912241752849021, 0.19502037038968623, 0.29568004407865567, 0.2825000646975535, 0.125, 0.19791257740315382, 0.13082437344079284]",2.0,0.04688119147368692,0.05859375,0.029296875,1.2498349158401192,True
0.5,0.125,4.0,0.375,1,53001,1600,12,"[0.4166493943657962, 0.3385255763034142, 0.33468176562574026, 0.125, 0.16735834088064175, 0.21931566013665985, 0.41940042309870584, 0.16280519360022203, 0.5, 0.4275426573849692]",2.0,0.4449672932958158,0.4345703125,0.21728515625,0.9766342808730801,True
0.5,0.125,4.0,0.375,2,53002,1600,12,"[0.3366785105964737, 0.21593757181049084, 0.5, 0.3616326700996572, 0.22370326764309797, 0.125, 0.46526276924469984, 0.1991529647132963, 0.3243086993254489, 0.19336605111385105]",2.0,0.18515981355936112,0.1513671875,0.07568359375,0.8174948148317971,True
0.5,0.125,4.0,0.375,3,53003,1600,12,"[0.125, 0.38314008376246916, 0.5, 0.3607601408525115, 0.15778173801238615, 0.20440110115350926, 0.20645892969243348, 0.13259088337705502, 0.3462146171010397, 0.27295089528292865]",2.0,0.27171353459989195,0.3076171875,0.15380859375,1.1321378890932963,True
0.5,0.0625,8.0,0.4375,0,53000,1600,12,"[0.32418902918511017, 0.5, 0.09201823841618724, 0.3460616892551273, 0.12179654342352483, 0.22737777859493205, 0.21234538429083383, 0.0625, 0.12451597963829047, 0.06691877665345794]",4.0,0.05230986148813594,0.05859375,0.0146484375,1.120128181056057,True
0.5,0.0625,8.0,0.4375,1,53001,1600,12,"[0.3803392363294552, 0.27854939978567156, 0.2738186815734093, 0.0625, 0.09682467335319146, 0.14525111099915414, 0.38411237066460663, 0.0929003564710267, 0.5, 0.39535221491707184]",4.0,0.425378783853297,0.41015625,0.1025390625,0.9642141676286636,True
0.5,0.0625,8.0,0.4375,2,53002,1600,12,"[0.27627277740997747, 0.1419081433629809, 0.5, 0.30755053356285317, 0.14963165851727045, 0.0625, 0.44880992230443667, 0.1256883895922001, 0.2611878049128192, 0.12025007064494347]",4.0,0.11101656027890534,0.087890625,0.02197265625,0.791689318955601,True
0.5,0.0625,8.0,0.4375,3,53003,1600,12,"[0.0625, 0.33539098315608773, 0.5, 0.3064381413659909, 0.08863394940290022, 0.13068924363703516, 0.13266779321987954, 0.06827873933929599, 0.2880932596340589, 0.20167022486395236]",4.0,0.18951561713083118,0.21484375,0.0537109375,1.1336466791107969,True
0.5,0.03125,16.0,0.46875,0,53000,1600,12,"[0.28059143948142873, 0.5, 0.052340984254128066, 0.30611271065470363, 0.07606588973386082, 0.17485337693271152, 0.15961257310824387, 0.03125, 0.07833877658871871, 0.03423003337235205]",8.0,0.05978967362807317,0.05859375,0.00732421875,0.9799978231105171,True
0.5,0.03125,16.0,0.46875,1,53001,1600,12,"[0.34719343565076954, 0.2291991316231174, 0.22402376848472583, 0.03125, 0.05601762852464216, 0.09619871756235779, 0.35179342979074696, 0.05301106212641155, 0.5, 0.3655854477676023]",8.0,0.4064121354826726,0.41015625,0.05126953125,1.0092126051129864,True
0.5,0.03125,16.0,0.46875,2,53002,1600,12,"[0.2267048389949197, 0.09325806983882176, 0.5, 0.26155637616681504, 0.10008630390839905, 0.03125, 0.43293888889049364, 0.07932380670819089, 0.21035226491632886, 0.07478085944672891]",8.0,0.06502388573789387,0.05859375,0.00732421875,0.9011111737644649,True
0.5,0.03125,16.0,0.46875,3,53003,1600,12,"[0.03125, 0.29359264757102377, 0.5, 0.26029575845584796, 0.049790153700418525, 0.08355962030553424, 0.0852505792994904, 0.03516068470941561, 0.23972912218883904, 0.14900438247150458]",8.0,0.12780509251505245,0.13671875,0.01708984375,1.0697441495447275,True
1.0,0.25,4.0,0.75,0,53000,1600,12,"[0.7491214046887577, 1.0, 0.323545929518911, 0.7824483505698042, 0.39004074077937245, 0.5913600881573113, 0.565000129395107, 0.25, 0.39582515480630764, 0.2616487468815857]",4.0,0.09376238294737384,0.1171875,0.029296875,1.2498349158401192,True
1.0,0.25,4.0,0.75,1,53001,1600,12,"[0.8332987887315924, 0.6770511526068284, 0.6693635312514805, 0.25, 0.3347166817612835, 0.4386313202733197, 0.8388008461974117, 0.32561038720044405, 1.0, 0.8550853147699384]",4.0,0.8899345865916316,0.869140625,0.21728515625,0.9766342808730801,True
1.0,0.25,4.0,0.75,2,53002,1600,12,"[0.6733570211929474, 0.43187514362098167, 1.0, 0.7232653401993144, 0.44740653528619595, 0.25, 0.9305255384893997, 0.3983059294265926, 0.6486173986508978, 0.3867321022277021]",4.0,0.37031962711872224,0.302734375,0.07568359375,0.8174948148317971,True
