u,l,kappa,delta,seed,k,n,normal_gaps_json,paper_boundary,direct_threshold,detected_at_90pct_boundary,assumption_4_2
0.5,0.125,4.0,0.375,0,1,12,"[0.3745607023443788, 0.5, 0.1617729647594555, 0.3912241752849021, 0.19502037038968623, 0.29568004407865567, 0.2825000646975535, 0.125, 0.19791257740315382, 0.13082437344079284]",0.5,0.3745607023443789,True,True
0.5,0.125,4.0,0.375,0,3,12,"[0.3745607023443788, 0.5, 0.1617729647594555, 0.3912241752849021, 0.19502037038968623, 0.29568004407865567, 0.2825000646975535, 0.125, 0.19791257740315382, 0.13082437344079284]",0.875,5.551115154145056e-17,True,True
0.5,0.125,4.0,0.375,0,5,12,"[0.3745607023443788, 0.5, 0.1617729647594555, 0.3912241752849021, 0.19502037038968623, 0.29568004407865567, 0.2825000646975535, 0.125, 0.19791257740315382, 0.13082437344079284]",1.25,1.1102230256591323e-16,True,True
0.5,0.125,4.0,0.375,0,7,12,"[0.3745607023443788, 0.5, 0.1617729647594555, 0.3912241752849021, 0.19502037038968623, 0.29568004407865567, 0.2825000646975535, 0.125, 0.19791257740315382, 0.13082437344079284]",1.625,1.3877787820739154e-16,True,True
0.5,0.125,4.0,0.375,1,1,12,"[0.4166493943657962, 0.3385255763034142, 0.33468176562574026, 0.125, 0.16735834088064175, 0.21931566013665985, 0.41940042309870584, 0.16280519360022203, 0.5, 0.4275426573849692]",0.5,0.42754265738496905,True,True
0.5,0.125,4.0,0.375,1,3,12,"[0.4166493943657962, 0.3385255763034142, 0.33468176562574026, 0.125, 0.16735834088064175, 0.21931566013665985, 0.41940042309870584, 0.16280519360022203, 0.5, 0.4275426573849692]",0.875,0.4245362669067077,True,True
0.5,0.125,4.0,0.375,1,5,12,"[0.4166493943657962, 0.3385255763034142, 0.33468176562574026, 0.125, 0.16735834088064175, 0.21931566013665985, 0.41940042309870584, 0.16280519360022203, 0.5, 0.4275426573849692]",1.25,0.44154150728693525,True,True
0.5,0.125,4.0,0.375,1,7,12,"[0.4166493943657962, 0.3385255763034142, 0.33468176562574026, 0.125, 0.16735834088064175, 0.21931566013665985, 0.41940042309870584, 0.16280519360022203, 0.5, 0.4275426573849692]",1.625,0.44882946744989,True,True
0.5,0.125,4.0,0.375,2,1,12,"[0.3366785105964737, 0.21593757181049084, 0.5, 0.3616326700996572, 0.22370326764309797, 0.125, 0.46526276924469984, 0.1991529647132963, 0.3243086993254489, 0.19336605111385105]",0.5,0.3616326700996573,True,True
0.5,0.125,4.0,0.375,2,3,12,"[0.3366785105964737, 0.21593757181049084, 0.5, 0.3616326700996572, 0.22370326764309797, 0.125, 0.46526276924469984, 0.1991529647132963, 0.3243086993254489, 0.19336605111385105]",0.875,0.18589133827965815,True,True
