n1,n0,k,kappa,kappa_multiplier,delta,iforest_predicted_scale,iforest_threshold,iforest_ratio,knn_predicted_scale,knn_threshold,knn_ratio,n1_over_n0,k_over_n1,k_over_n0,n0_over_k,n1_odd,anomaly_density_factor,normal_density_factor,anomaly_density_difference,normal_density_difference,assumption_4_2,asymptotic_family
5,25,11,6.0,1,5.0,150.0,50.03916804339781,0.33359445362265205,55.0,24.142857142857963,0.4389610389610539,0.2,2.2,0.44,2.272727272727273,True,6.0,6.0,5.0,5.0,True,"n0=n1^2,k=floor(n1^1.5)"
5,25,11,12.0,2,11.0,300.0,85.57710349474519,0.2852570116491506,121.0,48.142857142859896,0.3978748524203297,0.2,2.2,0.44,2.272727272727273,True,12.0,12.0,11.0,11.0,True,"n0=n1^2,k=floor(n1^1.5)"
5,25,11,24.0,4,23.0,600.0,157.61938843845655,0.2626989807307609,253.0,96.14285714286251,0.38001129305479253,0.2,2.2,0.44,2.272727272727273,True,24.0,24.0,23.0,23.0,True,"n0=n1^2,k=floor(n1^1.5)"
9,81,27,10.0,1,9.0,810.0,201.39186671266373,0.2486319342131651,243.0,80.05263157895655,0.32943469785578827,0.1111111111111111,3.0,0.3333333333333333,3.0,True,10.0,10.0,9.0,9.0,True,"n0=n1^2,k=floor(n1^1.5)"
9,81,27,20.0,2,19.0,1620.0,358.17367739590395,0.22109486259006417,513.0,160.05263157894808,0.3119934338770918,0.1111111111111111,3.0,0.3333333333333333,3.0,True,20.0,20.0,19.0,19.0,True,"n0=n1^2,k=floor(n1^1.5)"
9,81,27,40.0,4,39.0,3240.0,685.9365565473081,0.21170881374916917,1053.0,320.05263157895877,0.30394361973310424,0.1111111111111111,3.0,0.3333333333333333,3.0,True,40.0,40.0,39.0,39.0,True,"n0=n1^2,k=floor(n1^1.5)"
17,289,70,18.0,1,17.0,5202.0,1779.1577550858647,0.34201417821719815,1190.0,309.6666666666846,0.2602240896358694,0.058823529411764705,4.117647058823529,0.2422145328719723,4.128571428571429,True,18.0,18.0,17.0,17.0,True,"n0=n1^2,k=floor(n1^1.5)"
17,289,70,36.0,2,35.0,10404.0,3340.441561856175,0.3210728144806012,2450.0,619.3333333334209,0.25278911564629425,0.058823529411764705,4.117647058823529,0.2422145328719723,4.128571428571429,True,36.0,36.0,35.0,35.0,True,"n0=n1^2,k=floor(n1^1.5)"
17,289,70,72.0,4,71.0,20808.0,6467.53610829615,0.3108196899411837,4970.0,1238.6666666666788,0.24922870556673618,0.058823529411764705,4.117647058823529,0.2422145328719723,4.128571428571429,True,72.0,72.0,71.0,71.0,True,"n0=n1^2,k=floor(n1^1.5)"
33,1089,189,34.0,1,33.0,37026.0,14924.900629802973,0.40309243855136856,6237.0,1096.2292993633841,0.17576227342686934,0.030303030303030304,5.7272727272727275,0.17355371900826447,5.761904761904762,True,34.0,34.0,33.0,33.0,True,"n0=n1^2,k=floor(n1^1.5)"
33,1089,189,68.0,2,67.0,74052.0,28973.12544650267,0.3912537871563586,12663.0,2192.4585987267255,0.1731389559130321,0.030303030303030304,5.7272727272727275,0.17355371900826447,5.761904761904762,True,68.0,68.0,67.0,67.0,True,"n0=n1^2,k=floor(n1^1.5)"
33,1089,189,136.0,4,135.0,148104.0,57077.63401337069,0.3853888754751438,25515.0,4384.917197452892,0.1718564451284692,0.030303030303030304,5.7272727272727275,0.17355371900826447,5.761904761904762,True,136.0,136.0,135.0,135.0,True,"n0=n1^2,k=floor(n1^1.5)"
65,4225,524,66.0,1,65.0,278850.0,122124.91851386795,0.4379591841989168,34060.0,4260.158695653308,0.12507805917948644,0.015384615384615385,8.061538461538461,0.12402366863905326,8.062977099236642,True,66.0,66.0,65.0,65.0,True,"n0=n1^2,k=floor(n1^1.5)"
65,4225,524,132.0,2,131.0,557700.0,240713.76284929516,0.43161872485080716,68644.0,8520.315217393452,0.12412323316522132,0.015384615384615385,8.061538461538461,0.12402366863905326,8.062977099236642,True,132.0,132.0,131.0,131.0,True,"n0=n1^2,k=floor(n1^1.5)"
65,4225,524,264.0,4,263.0,1115400.0,477906.49327896954,0.4284619807055492,137812.0,17040.628260876932,0.12365126593385868,0.015384615384615385,8.061538461538461,0.12402366863905326,8.062977099236642,True,264.0,264.0,263.0,263.0,True,"n0=n1^2,k=floor(n1^1.5)"
