distribution,forest_seed,trees,mse,control
normal,0,100,5.730444580196518,repeat one perfectly correlated tree
normal,0,300,5.730444580196518,repeat one perfectly correlated tree
normal,0,1000,5.730444580196518,repeat one perfectly correlated tree
normal,0,3000,5.730444580196518,repeat one perfectly correlated tree
normal,0,10000,5.730444580196518,repeat one perfectly correlated tree
normal,0,30000,5.730444580196518,repeat one perfectly correlated tree
normal,1,100,5.048587497236509,repeat one perfectly correlated tree
normal,1,300,5.048587497236509,repeat one perfectly correlated tree
normal,1,1000,5.048587497236509,repeat one perfectly correlated tree
normal,1,3000,5.048587497236509,repeat one perfectly correlated tree
normal,1,10000,5.048587497236509,repeat one perfectly correlated tree
normal,1,30000,5.048587497236509,repeat one perfectly correlated tree
normal,2,100,4.199042569170277,repeat one perfectly correlated tree
normal,2,300,4.199042569170277,repeat one perfectly correlated tree
normal,2,1000,4.199042569170277,repeat one perfectly correlated tree
normal,2,3000,4.199042569170277,repeat one perfectly correlated tree
normal,2,10000,4.199042569170277,repeat one perfectly correlated tree
normal,2,30000,4.199042569170277,repeat one perfectly correlated tree
normal,3,100,3.765617199552189,repeat one perfectly correlated tree
normal,3,300,3.765617199552189,repeat one perfectly correlated tree
normal,3,1000,3.765617199552189,repeat one perfectly correlated tree
normal,3,3000,3.765617199552189,repeat one perfectly correlated tree
normal,3,10000,3.765617199552189,repeat one perfectly correlated tree
normal,3,30000,3.765617199552189,repeat one perfectly correlated tree
normal,4,100,3.9097760746436028,repeat one perfectly correlated tree
normal,4,300,3.9097760746436028,repeat one perfectly correlated tree
normal,4,1000,3.9097760746436028,repeat one perfectly correlated tree
normal,4,3000,3.9097760746436028,repeat one perfectly correlated tree
normal,4,10000,3.9097760746436028,repeat one perfectly correlated tree
normal,4,30000,3.9097760746436028,repeat one perfectly correlated tree
normal,5,100,3.0560397556783836,repeat one perfectly correlated tree
normal,5,300,3.0560397556783836,repeat one perfectly correlated tree
normal,5,1000,3.0560397556783836,repeat one perfectly correlated tree
normal,5,3000,3.0560397556783836,repeat one perfectly correlated tree
normal,5,10000,3.0560397556783836,repeat one perfectly correlated tree
normal,5,30000,3.0560397556783836,repeat one perfectly correlated tree
uniform,0,100,4.080695847152271,repeat one perfectly correlated tree
uniform,0,300,4.080695847152271,repeat one perfectly correlated tree
uniform,0,1000,4.080695847152271,repeat one perfectly correlated tree
uniform,0,3000,4.080695847152271,repeat one perfectly correlated tree
uniform,0,10000,4.080695847152271,repeat one perfectly correlated tree
uniform,0,30000,4.080695847152271,repeat one perfectly correlated tree
uniform,1,100,5.3348995709931835,repeat one perfectly correlated tree
uniform,1,300,5.3348995709931835,repeat one perfectly correlated tree
uniform,1,1000,5.3348995709931835,repeat one perfectly correlated tree
uniform,1,3000,5.3348995709931835,repeat one perfectly correlated tree
uniform,1,10000,5.3348995709931835,repeat one perfectly correlated tree
uniform,1,30000,5.3348995709931835,repeat one perfectly correlated tree
uniform,2,100,6.154998500150482,repeat one perfectly correlated tree
uniform,2,300,6.154998500150482,repeat one perfectly correlated tree
uniform,2,1000,6.154998500150482,repeat one perfectly correlated tree
uniform,2,3000,6.154998500150482,repeat one perfectly correlated tree
uniform,2,10000,6.154998500150482,repeat one perfectly correlated tree
uniform,2,30000,6.154998500150482,repeat one perfectly correlated tree
uniform,3,100,3.502942621608651,repeat one perfectly correlated tree
uniform,3,300,3.502942621608651,repeat one perfectly correlated tree
uniform,3,1000,3.502942621608651,repeat one perfectly correlated tree
uniform,3,3000,3.502942621608651,repeat one perfectly correlated tree
uniform,3,10000,3.502942621608651,repeat one perfectly correlated tree
uniform,3,30000,3.502942621608651,repeat one perfectly correlated tree
uniform,4,100,7.0376396976091975,repeat one perfectly correlated tree
uniform,4,300,7.0376396976091975,repeat one perfectly correlated tree
uniform,4,1000,7.0376396976091975,repeat one perfectly correlated tree
uniform,4,3000,7.0376396976091975,repeat one perfectly correlated tree
uniform,4,10000,7.0376396976091975,repeat one perfectly correlated tree
uniform,4,30000,7.0376396976091975,repeat one perfectly correlated tree
uniform,5,100,4.227019317594278,repeat one perfectly correlated tree
uniform,5,300,4.227019317594278,repeat one perfectly correlated tree
uniform,5,1000,4.227019317594278,repeat one perfectly correlated tree
uniform,5,3000,4.227019317594278,repeat one perfectly correlated tree
uniform,5,10000,4.227019317594278,repeat one perfectly correlated tree
uniform,5,30000,4.227019317594278,repeat one perfectly correlated tree
exponential,0,100,3.916280253717971,repeat one perfectly correlated tree
exponential,0,300,3.916280253717971,repeat one perfectly correlated tree
exponential,0,1000,3.916280253717971,repeat one perfectly correlated tree
exponential,0,3000,3.916280253717971,repeat one perfectly correlated tree
exponential,0,10000,3.916280253717971,repeat one perfectly correlated tree
exponential,0,30000,3.916280253717971,repeat one perfectly correlated tree
exponential,1,100,3.6230368461983495,repeat one perfectly correlated tree
exponential,1,300,3.6230368461983495,repeat one perfectly correlated tree
exponential,1,1000,3.6230368461983495,repeat one perfectly correlated tree
exponential,1,3000,3.6230368461983495,repeat one perfectly correlated tree
exponential,1,10000,3.6230368461983495,repeat one perfectly correlated tree
exponential,1,30000,3.6230368461983495,repeat one perfectly correlated tree
exponential,2,100,4.272479497421883,repeat one perfectly correlated tree
exponential,2,300,4.272479497421883,repeat one perfectly correlated tree
exponential,2,1000,4.272479497421883,repeat one perfectly correlated tree
exponential,2,3000,4.272479497421883,repeat one perfectly correlated tree
exponential,2,10000,4.272479497421883,repeat one perfectly correlated tree
exponential,2,30000,4.272479497421883,repeat one perfectly correlated tree
exponential,3,100,5.215771339433656,repeat one perfectly correlated tree
exponential,3,300,5.215771339433656,repeat one perfectly correlated tree
exponential,3,1000,5.215771339433656,repeat one perfectly correlated tree
exponential,3,3000,5.215771339433656,repeat one perfectly correlated tree
exponential,3,10000,5.215771339433656,repeat one perfectly correlated tree
exponential,3,30000,5.215771339433656,repeat one perfectly correlated tree
exponential,4,100,3.8018930465103415,repeat one perfectly correlated tree
exponential,4,300,3.8018930465103415,repeat one perfectly correlated tree
exponential,4,1000,3.8018930465103415,repeat one perfectly correlated tree
exponential,4,3000,3.8018930465103415,repeat one perfectly correlated tree
exponential,4,10000,3.8018930465103415,repeat one perfectly correlated tree
exponential,4,30000,3.8018930465103415,repeat one perfectly correlated tree
exponential,5,100,2.840662044918594,repeat one perfectly correlated tree
