distribution,forest_seed,trees,point_index,value,theory,empirical,squared_error,hoeffding_epsilon_alpha_0_05
normal,0,100,0,-2.15821763021565,4.425428830562275,4.51,0.007152282700064339,13.581015157406195
normal,0,100,1,-2.0774041947665784,5.216183451217329,5.33,0.012954206776798077,13.581015157406195
normal,0,100,2,-1.9892737619348617,5.189671207092474,5.17,0.0003869563884750189,13.581015157406195
normal,0,100,3,-1.7351837507990182,6.77670327742001,6.83,0.002840540637768424,13.581015157406195
normal,0,100,4,-1.719694968456009,7.077535074246001,7.17,0.00854976249469261,13.581015157406195
normal,0,100,5,-1.6682520853578005,7.184731448778096,7.23,0.002049241729730205,13.581015157406195
normal,0,100,6,-1.6457528505684305,6.972378081024496,7.05,0.006025162305439617,13.581015157406195
normal,0,100,7,-1.4841003230359984,6.811976288609268,7.04,0.05199481295640403,13.581015157406195
normal,0,100,8,-1.4255263118724488,7.832002743812834,7.81,0.00048412073529320793,13.581015157406195
normal,0,100,9,-1.4120222554426667,7.816979953014384,7.82,9.120683795331497e-06,13.581015157406195
normal,0,100,10,-1.3443373867802986,6.821335184297698,6.69,0.01724893063451029,13.581015157406195
normal,0,100,11,-1.1587676816155492,7.190792653697786,6.87,0.10290792666646742,13.581015157406195
normal,0,100,12,-1.109478859890287,8.176307179992298,7.99,0.03471036531668242,13.581015157406195
normal,0,100,13,-1.0929354739207184,8.190198458627918,7.99,0.04007942283699427,13.581015157406195
normal,0,100,14,-1.04307082034059,7.301445488523703,7.05,0.06322483369892352,13.581015157406195
normal,0,100,15,-0.8625729739743478,7.8856839405210355,7.61,0.07600163506120566,13.581015157406195
normal,0,100,16,-0.8376774358536614,8.487119800364919,8.0,0.23728569990755863,13.581015157406195
normal,0,100,17,-0.8137922593253948,8.227044807977048,7.65,0.332980710413268,13.581015157406195
normal,0,100,18,-0.7255614606179792,9.066241586352708,8.66,0.1650322264823649,13.581015157406195
normal,0,100,19,-0.7200392052504849,9.26220463231849,8.92,0.11710401038023276,13.581015157406195
normal,0,100,20,-0.6982195658952473,8.642057587152989,8.45,0.03688611678302815,13.581015157406195
normal,0,100,21,-0.6497780821947757,7.909552547417395,7.6,0.0958227796125986,13.581015157406195
normal,0,100,22,-0.5199676209548492,9.036536272938074,8.86,0.031165055662866297,13.581015157406195
normal,0,100,23,-0.5169623266089206,9.106572117780466,8.9,0.04267203984430663,13.581015157406195
normal,0,100,24,-0.46966188801128483,9.90036280629877,9.79,0.012179949014139886,13.581015157406195
normal,0,100,25,-0.4629021998235593,10.620106911235496,10.63,9.787320530237526e-05,13.581015157406195
normal,0,100,26,-0.45860913693544203,10.370432096979961,10.47,0.00991376731180801,13.581015157406195
normal,0,100,27,-0.43144786735689705,10.088653039656268,10.35,0.06830223368090785,13.581015157406195
normal,0,100,28,-0.4227082442899866,10.089425875227633,10.31,0.04865294451909599,13.581015157406195
normal,0,100,29,-0.39609189573470754,9.438713202554707,9.51,0.005081807490006182,13.581015157406195
normal,0,100,30,-0.35714776996931574,9.308679900621023,9.43,0.014718566513324836,13.581015157406195
normal,0,100,31,-0.32291769329700526,10.102707487737776,10.09,0.00016148024460573224,13.581015157406195
normal,0,100,32,-0.31755641026202724,10.110491521562366,9.93,0.03257718935589824,13.581015157406195
normal,0,100,33,-0.28398243659303657,9.523112360644523,9.32,0.041254631046590814,13.581015157406195
normal,0,100,34,-0.2618977695434004,9.288276833312711,9.28,6.85059696864137e-05,13.581015157406195
normal,0,100,35,-0.2034419511272911,9.969818090052987,10.05,0.006429138682750959,13.581015157406195
normal,0,100,36,-0.19924597136360533,10.132441133829218,10.28,0.021773618985606577,13.581015157406195
normal,0,100,37,-0.18248971793349575,9.359906577615194,9.57,0.04413924612936083,13.581015157406195
normal,0,100,38,-0.1240979943614947,9.081889972815056,9.31,0.052034184502316345,13.581015157406195
normal,0,100,39,-0.0952320997730874,10.78459966680493,11.08,0.08726135685175869,13.581015157406195
normal,0,100,40,-0.09485245086254075,10.827996118708846,11.12,0.08526626668909788,13.581015157406195
normal,0,100,41,-0.08724659534147063,10.531743574437993,10.86,0.10775228092274519,13.581015157406195
normal,0,100,42,-0.08546929136162557,10.31485858832286,10.59,0.07570279641968944,13.581015157406195
normal,0,100,43,-0.014940976501891723,8.880332855070568,9.24,0.12936045514168903,13.581015157406195
normal,0,100,44,0.01757639774537028,9.117433848388021,9.35,0.0540870148756057,13.581015157406195
normal,0,100,45,0.05703133616334085,9.16286906751031,9.2,0.0013787061475538022,13.581015157406195
normal,0,100,46,0.0881879081166372,9.20156102729575,9.33,0.016496569709323214,13.581015157406195
normal,0,100,47,0.11432501606766024,8.73761007996734,8.89,0.02322268772756083,13.581015157406195
normal,0,100,48,0.21843657019135584,10.195755618934726,10.31,0.013051778604987692,13.581015157406195
normal,0,100,49,0.21972922495109107,10.476636071641211,10.56,0.006949544551409347,13.581015157406195
normal,0,100,50,0.22386154839470881,9.88706541589048,9.9,0.00016730346608627824,13.581015157406195
normal,0,100,51,0.24894657782741852,10.725548778575718,10.77,0.0019759110861105504,13.581015157406195
normal,0,100,52,0.2495025036353374,10.760869837280886,10.86,0.009826789160717912,13.581015157406195
normal,0,100,53,0.26181970374947133,10.329055643305967,10.43,0.0101897631483721,13.581015157406195
normal,0,100,54,0.27025124377228327,10.98413511208307,11.06,0.005755481218648406,13.581015157406195
normal,0,100,55,0.2731011538081281,11.6735925612407,11.7,0.000697352821826172,13.581015157406195
normal,0,100,56,0.2742363743695338,11.644175802519282,11.77,0.01583172867166665,13.581015157406195
normal,0,100,57,0.2763713968724043,10.607891490439577,10.58,0.0007779352389410309,13.581015157406195
normal,0,100,58,0.33467848836283615,7.903948703894727,7.87,0.0011525144961318549,13.581015157406195
normal,0,100,59,0.49079974428790213,9.110978011078469,9.16,0.0024031553978227167,13.581015157406195
normal,0,100,60,0.492516090310461,9.16896565011828,9.22,0.002604504867849957,13.581015157406195
normal,0,100,61,0.5271783885863003,10.309968733216357,10.49,0.03241125701972348,13.581015157406195
normal,0,100,62,0.5278691172105829,10.423434614379183,10.58,0.024512719974595306,13.581015157406195
normal,0,100,63,0.5329540464226404,9.532999197277753,9.64,0.011449171783205243,13.581015157406195
normal,0,100,64,0.5830390302096662,9.501406381076308,9.68,0.031895680720260944,13.581015157406195
normal,0,100,65,0.5926732989689915,9.727063183140444,9.81,0.006878515590795552,13.581015157406195
normal,0,100,66,0.6128257349706404,10.00329488977085,10.18,0.03122469598109618,13.581015157406195
normal,0,100,67,0.6144046978874591,9.932131887741283,10.13,0.039151789848828465,13.581015157406195
normal,0,100,68,0.66720072198512,8.137867776349086,8.36,0.04934272478409928,13.581015157406195
normal,0,100,69,0.7836446147596102,8.962302396327452,9.35,0.15030943189343587,13.581015157406195
normal,0,100,70,0.800350756232619,10.099572471182906,10.57,0.22130205986895785,13.581015157406195
