did,name,version,status,format,file_id,default_target_attribute,upload_date,NumberOfInstances,NumberOfFeatures,NumberOfNumericFeatures,NumberOfSymbolicFeatures,dataset_md5_checksum,metadata_response_sha256
3,kr-vs-kp,1,active,ARFF,3,class,2014-04-06T23:19:28,3196,37,0,37,ad6eb32b7492524d4382a40e23cdbb8e,ee4941cc0831285f35e58dc0a94279c9d2a51a3fe0ca9f59ecd927b8d46dba66
4,labor,1,active,ARFF,4,class,2014-04-06T23:19:30,57,17,8,9,e013a5e0acb7e141d169198a55b22c51,5f8064b0d49d9261dd299da2e2e28186a704fab4b12ba0eb9581bc3608f409ca
13,breast-cancer,1,active,ARFF,13,Class,2014-04-06T23:20:07,286,10,0,10,f1bc87afa51b034b58451747757479e3,7c42fc53b7d0b310da30cd2702dcd24997b2c4ad1dc4780cefc9a6adbe543f03
15,breast-w,1,active,ARFF,52350,Class,2014-04-06T23:20:20,699,10,9,1,88633c065209e7a57323d3d7f2d00546,27baffae3b11d330604b06a9c975f31cf9e6e417a4640dcf1941729945dc5620
24,mushroom,1,active,ARFF,24,class,2014-04-06T23:21:11,8124,23,0,23,c8e898e453167e76d617eff67d198579,e1dc30260cf5b106bd1509296f8761c9e5f00629a531b4f574b5a95a20437df1
25,colic,1,active,ARFF,25,surgical_lesion,2014-04-06T23:21:15,368,27,7,20,933f0487c0fa52a5483c39d85a351f93,9f56ce0645027f0bae5d8a75361286bd2f0612f3e9a0c98cd29e94cb9948afdc
27,colic,2,active,ARFF,27,surgical_lesion,2014-04-06T23:21:26,368,23,7,16,17380a1a6a64e6069ea28a3409a094b2,4b758b045dc194acba8e92b71ad12acc34ea4218a2dc25bc1c4e7b6425b8db2e
29,credit-approval,1,active,ARFF,29,class,2014-04-06T23:21:38,690,16,6,10,a948be968270a823fce432227c1aa36e,3799658e93833bfd4ad33525c6438212af9d482021e5fe093424a1defd027638
31,credit-g,1,active,ARFF,31,class,2014-04-06T23:21:47,1000,21,7,14,9a475053fed0c26ee95cd4525e50074c,0a42592519aeb3f473eac041a5b65c9054d46cf94665c489386dbe3371348f6a
37,diabetes,1,active,ARFF,37,class,2014-04-06T23:22:13,768,9,8,1,3cbaa3e54586aa88cf6aacb4033e4470,9c5737c190ab2ed1cfcc84bf1c0a281ece11acd3dce065706217d1b0f5e3d2e7
38,sick,1,active,ARFF,38,Class,2014-04-06T23:22:19,3772,30,7,23,ee5cb4b7f41a5f44b0cd234f675ab492,7766a20c845315db3d2c8570e678908a1ce8e8652a80683db8de9d7432b513f4
