n0,method,parameter,threshold
20,iforest,1,5.5
20,knn,1,1.25
20,iforest,3,5.5
20,knn,3,1.75
20,iforest,5,5.5
20,knn,5,2.25
20,iforest,9,5.5
20,knn,9,3.25
20,iforest,15,5.5
20,knn,15,15.25
40,iforest,1,7.25
40,knn,1,1.25
40,iforest,3,7.25
40,knn,3,1.75
40,iforest,5,7.25
40,knn,5,2.25
40,iforest,9,7.25
40,knn,9,3.25
40,iforest,15,7.25
40,knn,15,4.75
80,iforest,1,10.0
80,knn,1,1.25
80,iforest,3,10.0
80,knn,3,1.75
80,iforest,5,10.0
80,knn,5,2.25
80,iforest,9,10.0
80,knn,9,3.25
80,iforest,15,10.0
80,knn,15,4.75
160,iforest,1,13.75
160,knn,1,1.25
160,iforest,3,13.75
160,knn,3,1.75
160,iforest,5,13.75
160,knn,5,2.25
160,iforest,9,13.75
160,knn,9,3.25
160,iforest,15,13.75
160,knn,15,4.75
320,iforest,1,19.0
320,knn,1,1.25
320,iforest,3,19.0
320,knn,3,1.75
320,iforest,5,19.0
320,knn,5,2.25
320,iforest,9,19.0
320,knn,9,3.25
320,iforest,15,19.0
320,knn,15,4.75
640,iforest,1,26.5
640,knn,1,1.25
640,iforest,3,26.5
640,knn,3,1.75
640,iforest,5,26.5
640,knn,5,2.25
640,iforest,9,26.5
640,knn,9,3.25
640,iforest,15,26.5
640,knn,15,4.75
